Video Id,Video Title,Channel Id,Channel Title,Video Tags,Channel Country
3NLhX-X1QkI,Foreigner trying to speak filipino language,UC--yHFG8M0SVEmYfO6ODbPQ,John Kurt Manuel,[],PH
9sMmTC9x6wc,European tried Filipino fruit salad (dessert) for the first time.,UC-0XZzV9y16bKIuWb4qWkCg,Filipino Czech family,[],Unknown
H_Tu56JAV5Q,"EUROPEAN FIRST TIME EATING  HALO-HALO, MANG INASAL AND ISAW",UC-0XZzV9y16bKIuWb4qWkCg,Filipino Czech family,[],Unknown
2k0bDGsOMBg,LE SSERAFIM's cute interaction with FELIX (Stray Kids) during AAA 2023,UC-0_V4naPnf3d1z1nCzb95Q,zaikology,"['le sserafim', 'lesserafim', 'nakamura kazuha', 'zuha', 'source music', 'swan', 'baby cheetah', 'ssamkura', 'manchae', 'maknae', 'ballet', 'opera', 'izone', 'potato smile', 'antifragile', 'fearnot', 'sakunoki', 'lesserafim funny', 'lesserafim family', 'kazuha family', 'lesserafim chaotic moments 2023', 'huh yunjin', 'kim chaewon', 'miyawaki sakura', 'kkura', 'hong eunchae', ""i'm fearless"", 'the world is my oyster', 'the great mermaid', 'sour grapes', 'hybe', 'recent moments', 'madness', 'loud', 'jealousy', 'game', 'tv show', 'variety shows', 'interviews']",PH
t4j0EUxr8YI,Trying FILIPINO food in MIAMI 🇵🇭 #shorts #philippines,UC-9zh2jfdKFexhw9cXYKfcA,Harry Clean TV,[],Unknown
H7OZvHctOeA,Everything You Need to Know Before Your First Tattoo | Dos and Don'ts,UC-AqLLFKh8QoCsXaPAg4aRQ,Inked,"['tattoo', 'tattoos', 'tattooer', 'tattooist', 'tattooing', 'tat', 'tattoo artist', 'tattoo shop', 'first tattoo', 'tattoo virgin', 'tattoo advice', 'tattoo prep', ""dos and don'ts"", 'inked', 'inked mag', 'inked magazine']",US
h9Sz_ruSRS8,Foreigners React to Lizquen Filipino Loveteam,UC-BKXdCFnPmTpljrxxYu7dQ,IFCGuam,"['Lizquen', 'Liza Soberano', 'Enrique Gil', 'Everyday I love you', 'Foreigners react to Filipino Teen stars', 'Foreigners react to filipino love team', 'lizquen loveteam', 'Foreigners react to Liza and Enrique', 'Foreigners react to Everyday I love you', 'Flipino reaction video', 'Reacts to filipino', 'Filipino', 'Filipino love teams', 'Flipino love team lizquen', 'Non-flipinos react to lizquen', 'lizquen mania', 'lizquen fans', 'non-filipinos react to filipino movie', 'filipino movie', 'abscbn']",Unknown
laMjQjbAHPg,Foreigners React to Kathniel Filipino Loveteam,UC-BKXdCFnPmTpljrxxYu7dQ,IFCGuam,"['abscbn', 'Filipino Love team', 'Filpino reaction video', 'Daniel Padilla', 'Kathryn Bernardo', 'Filipino reaction', 'Reacts to filipino loveteam', 'Non-Filipinos react to Kathniel loveteam', 'Kathniel', 'Foreigners react to Kathniel', 'Kathniel ABSCBN', 'Kathniel Loveteam']",Unknown
1zkeD98NIw0,Freddie Aguilar Greatest Hits 2023 - Freddie Aguilar Tagalog Love Songs Of All Time,UC-BbHGSJdmh0iXbnfgzE9FA,Classic Songs,"['tagalog love songs', 'love songs lyrics', 'nonstop tagalog love songs', 'love songs 80s 90s', 'tagalog love songs lyrics', ""tagalog love songs 80's 90's with lyrics"", 'nonstop love songs', 'nonstop love songs 80s 90s', 'opm songs with lyrics', 'opm love songs tagalog with lyrics', 'tagalog love songs 80s 90s', 'love songs 80s lyrics', 'opm love songs tagalog lyrics', 'opm english love songs lyrics', 'opm songs', 'tagalog songs', 'OPM Love Song', 'Masarap Balikan', 'opm lumang tugtugin', 'Mga Sikat na Tugtugin']",PH
35e8qYjKeiQ,Freddie Aguilar Greatest Hits 2023 - Freddie Aguilar Tagalog Love Songs Of All Time,UC-BbHGSJdmh0iXbnfgzE9FA,Classic Songs,"['tagalog love songs', 'love songs lyrics', 'nonstop tagalog love songs', 'love songs 80s 90s', 'tagalog love songs lyrics', ""tagalog love songs 80's 90's with lyrics"", 'nonstop love songs', 'nonstop love songs 80s 90s', 'opm songs with lyrics', 'opm love songs tagalog with lyrics', 'tagalog love songs 80s 90s', 'love songs 80s lyrics', 'opm love songs tagalog lyrics', 'opm english love songs lyrics', 'opm songs', 'tagalog songs', 'OPM Love Song', 'Masarap Balikan', 'opm lumang tugtugin', 'Mga Sikat na Tugtugin']",PH
LDTnuNhipZM,"SATURDAY FILIPINO MASS TODAY LIVE II 8TH DAY SIMBANG GABI II DECEMBER 23, 2023 II FR. JOWEL GATUS",UC-BiW9G1BsJV1pm7pA5zc2g,Fr. Jowel Jomarsus Gatus,['#homily #inspiration #dailymass #catholic'],PH
ajyzMUnHE98,"MONDAY FILIPINO MASS TODAY LIVE II 3RD SIMBANG GABI II DECEMBER 18, 2023 II FR. JOWEL GATUS",UC-BiW9G1BsJV1pm7pA5zc2g,Fr. Jowel Jomarsus Gatus,['#homily #inspiration #dailymass #catholic'],PH
x1CHv3HbmV8,Nigerians try famous Filipino food for the first time + shocking and hilarious reaction.,UC-HGD8vCOB6lswih3nDFaoQ,Peace Uzo,"['Exotic fruits', 'Trying exotic fruits', 'Famous exotic fruits', 'Exotic fruits in America', 'Nigerian tries exotic fruits', 'First time trying exotic fruits', 'First time', 'Entertaining', 'Fun to watch', 'Hilarious', 'Funny', 'Shocking reaction', 'Reaction video', 'Viral', 'Trend', 'Trending video', 'Viral video', 'For you', 'Explore']",US
WgVIf5zXzxM,FILIPINA SCARED WHEN DATING A FOREIGNER | TSISMIS IN THE PHILIPPINES | FILIPINA VLOGGER,UC-I9RtZK7wfdwGmHFgpBk4A,FILIPINA VLOGGER,"['Filipina scared when dating a foreigner', 'Tsismis in the Philippines', 'filipina vlogger', 'Filipina and Foreigner Relationship', 'Gossip in the Philippines', 'Filipina dating a foreigner']",PH
lO1Lctjj9Js,FOREIGNER tries these FILIPINO fruits for first time! MUKBANG!,UC-LEwCAiXCuHjr_Qjihr8_Q,MAMA YANA & FAMILY,"['#philippines', '#travel', '#vog', '#vlogging', '#family', 'BGC', '#manila', '#british', '#youtube', '#youtuber', '#blog', '#like', '#subscribe', '#thumbsup', '#kids', '#pool', '#house', 'philippines', 'vlog', '#familyvlog', '#travelvlog', 'travel', 'youtube', 'youtuber', 'like', 'subscribe', 'manila', 'plane', 'travelling', 'blog', 'cute', 'baby', 'emirates', 'life', 'lifestyle', 'comment', 'hits', 'family', 'british', 'english', 'moving', 'abroad', 'fruit', 'durian', 'smell', 'mango', 'mangos', 'pineapple', 'food', 'taste', 'smelly', 'fruity', 'coconut', 'buko', 'juice', 'meat', 'Rambutan', 'Dragonfruit', 'Langka', 'jackfruit', 'MANILA', 'PHILIPPINES']",Unknown
oUliH_q1Rbk,Effect of Enhanced Community Quarantine - PH Video React,UC-Lg6ZNa5vrPGvN3sf6VvVA,Aquino Squad,"['Enhanced Community Quarantine', 'Community Quarantine', 'Quarantine']",PH
sKVldhxeMT8,Love-Hate-Relationship #sisters  #enemies #filipino #fyp  #fypシ,UC-LuyjMz1b-6akAWU2yei8A,Aylah Lauzun,[],Unknown
erxtNBn4zXo,ISIS Spreads its Message - Marawi Philippines (Marine Reacts),UC-N44TadAniwC7v8Zj858nQ,Jamesons Travels,"['Jamesons Travels', 'marine reacts', 'veteran', 'marine corps', 'warrior culture', 'Marawi', 'Philippines', 'isis', 'isis marawi', 'isis philippines marawi', 'reaction video', 'isil']",US
vx9wznhQj_k,Foreigner from Romania speaks tagalog fluently...,UC-OJhvQRf5U3-25mcZkH8ig,Team Gorea,[],PH
I5YxcCqwXlk,Foreigner reacts to Papaitan food from Philippines🔥💯 #vidshorts #shorts #youtubeshorts #trending,UC-OlgkEX9bj1nR9KcfAahqQ,VidShorts,[],Unknown
xmawJzdtQqs,NNP #Reaction 91- #Indians React to #SB19 invades Singapore  | #Philippines #Atin #reaction #india,UC-POIdd0j8Ho96_6jIMyvAw,No Name Podcast,"['India', 'Indian', 'Podcast', 'new', 'Virat', 'Pod cast', 'Pod', 'Hindi', 'BTs', 'flying beast', 'Thor', 'Cricket', 'Indian Cricket', 'english', 'Music', 'T series', 'Punjabi music', 'Sidhu 295', 'Sidhu', 'Carryminati', 'Ashish', 'Travel', 'Toursit', 'Sri Lanka', 'World Cup', 'T2o', 'T20', 'Rohit', 'Pant', 'Pakistan', 'Paki', 'Marvel', 'Movies', 'Reviews', 'Bollywood reviews', 'Current topics', 'Aamir khan', 'Kareena Kapoor', 'Funny', 'Fun', 'Movie', 'Roast', 'Boycott Bollywood', 'Boycott', 'Jokes', 'EPL', 'Football', 'KSI', 'Cricket world cup', 'Dubai', 'India vs pakistan', 'Manutd', 'Liverpool', 'Chelsea', 'Arsenal', 'Real']",IN
7TJSHHmMdgI,FOREIGNER WHO CAN SPEAK TAGALOG 🇵🇭,UC-PqbL-QnbsCrMWogluEtkA,alfrichworld,[],PH
WOb3lH26y2I,Foreigner Speaking Tausug (Native Filipino Dialect) Funny,UC-Ri2dPEQovwQW8-mrNdozA,TAUSUG TV,[],Unknown
xF1Qd2JZ0Rg,Why We Hated The Philippines | First Impressions Of Paradise | Ep12,UC-Rx9HRmDoc5YmtcPOopmrA,Travel Beans,"['philippines', 'Philippines vlog', 'philippines travel', 'travel vlog', 'vlog', 'cebu vlog', 'palawan', 'palawan philippines', 'Why We Hated The Philippines', 'travel video', 'philippines travel video', 'philippines travel vlog', 'travel blog', 'philippines vlog', 'travel beans', 'travel couple', 'travel', 'philippines street food', 'backpacking asia', 'backpacking philippines']",GB
U6_5bg5108o,AMERICAN REACTS TO FILIPINOS DURING A TYPHOON!!!,UC-VUzVsTFTXMU7aSf-lEsiA,Rare Soul Worldwide,"['sean tyler tv', 'sean reacts', 'filipino singers that went viral', 'filipino singers that went viral reaction', 'filipinos singing', 'filipinos during typhoon', 'filipinos in a typhoon', 'american', 'reaction', 'reacts', 'funny', 'philippines', 'philippines reaction', 'pinoy', 'pinoy reaction', 'filipino foreign reaction', 'filipino foreign reactor', 'foreign pinoy', 'foreign pinoy reaction', 'bagyo ka lang pinoy kami', 'bagyo ka lang pinoy kami reaction', 'filipino typhoon', 'filipino typhoon reaction', 'foreign reaction']",US
A6G0NXmETR4,CRAZY!!! | Philippines Gilas vs Australia brawl | FIBA World Cup 2019 | AMERICAN REACTION!!!,UC-VUzVsTFTXMU7aSf-lEsiA,Rare Soul Worldwide,"['sean tyler tv', 'sean tyler reactions', 'the commodity', 'culture', 'travel', 'malaysia', 'indonesia', 'fiba', 'fiba asia', 'fiba world cup 2019 asian qualifiers', 'gilas pilipinas', 'philippines vs. australia', 'sports', 'espn5 basketball', 'brawl', 'react to philippines', 'philippines reaction', 'gilas vs australia fight', 'insane brawl between australia vs gilas', 'gilas pilipinas vs australia fight', 'insane fight between philippines vs australia', 'phillipines vs australia fight reaction', 'gilas vs australia fight reaction']",US
gqwRdGC87hY,FILIPINO SINGERS THAT WENT VIRAL IN 2020 UPDATED | REACTION!!!,UC-VUzVsTFTXMU7aSf-lEsiA,Rare Soul Worldwide,"['sean tyler tv', 'sean tyler reactions', 'filipino singers 2020', 'filipino singers reaction', 'filipino singers that went viral reaction', 'filipino singers that went viral 2020', 'filipino singers that went viral 2020 reaction', 'filipino singers 2020 reaction video', 'unknown singer reactions', 'viral filipino singers', 'viral filipino singers reaction', 'filipino singers that went viral 2020 updated reaction', 'filipino singers that went viral 2020 updated', 'american', 'reaction', 'reacts']",US
