Video Id,Video Title,Channel Id,Channel Title,Video Tags,Channel Country
FHYyiWVyAyY,FOREIGNERS react to PINOY TALENT! Pinay Behind Popular PHILIPPINES Airlines Voice-Overs,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,"['philippines', 'foreigners react to philippines', 'pinoy talent']",PH
r6QmTo_yFRk,FOREIGNERS SHOCKED about FILIPINO vs. SPANISH Language Differences!,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
sxPHlv-5d1s,FOREIGNER reacts to THINGS Foreigners Should NEVER Do in the PHILIPPINES,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
N9uOmaqVGI0,FOREIGNERS react to Kwentong JOLLIBEE AD 2021: Long Distance Relationship - it got EMOTIONAL!,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,"['#KwentongJollibee', '#JollibeeReaction', '#Philippines']",PH
B1QwLFLxido,LECHON KAWALI Korean Cook & React Filipino Food - FOREIGNERS REACTION,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,"['#FilipinoFood', '#Philippines', '#Reaction']",PH
4JPhkSR2-DI,FOREIGNERS share their FILIPINO CHRISTMAS experiences - REACTION,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
-qbHvJ626lI,FOREIGNERS react to PHILIPPINES Proudly WELCOMES You!,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
M-M0m6XDSvc,FOREIGNERS react to FILIPINO GRANDMA behavior! We didn't EXPECT THIS!!!,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
AdCc2tzn1Gc,Is FILIPINO the WORLDS BEST Accent? FOREIGNERS REACTION,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
D8xSDEbzAso,Uncle Roger DISGUSTED by this Egg Fried Rice Video - FOREIGNERS Reaction,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,"['Uncle Roger', 'Uncle Roger Fried Rice', 'Fried Rice Viral Video', 'Uncle Roger Reaction', 'Reaction Channel', '#UncleRoger', '#FriedRice']",PH
Td1S2Oc__L8,FOREIGNERS react to a Day in the Life of a FILIPINO TAHO VENDOR,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
dBhVBUwG-fE,100 Years of FILIPINO BEAUTY - Foreigners Reaction,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,"['#Philippines', '#Reaction', 'Foreigners react to Philippines', 'Reaction channel philippines', 'filipino beauty', 'filipino', 'philippines', 'philippines history']",PH
F7SqfqPGhJo,Foreigners react to FILIPINO CHESS WONDERBOY - 10-year-old Champion!!!,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
R9_qrjJwZp4,FOREIGNER reacts to THINGS I wish I knew BEFORE visiting THE PHILIPPINES,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
EJglTPNC0h0,Foreigners react to CRAZY 7 FILIPINO WONDERS - how many have we visited?,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
YxKxOYvDqcg,FOREIGNERS react to TOP 10 UNIVERSITIES in the Philippines 2020,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,"['#philippines', '#reaction']",PH
TnvBiUw2OUs,FOREIGNER reacts to WHY South Korea is investing so much in the PHILIPPINES,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
zdfnFZDU-Yo,FOREIGNERS react to Viral FILIPINO Singing DNA,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
WoRXoX0MPdM,Most EXPENSIVE Wedding Dresses of FILIPINO CELEBRITIES - Foreigners Reaction,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
BUFMB5jiFnA,FOREIGNER reacts to the $180 BILLION Plan To Build The PHILIPPINES,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
tHksfBT2y8M,FOREIGNER reacts to JOLLIBEE Fried Chicken and Spaghetti BUT BETTER!,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
sEdc4HVFOfY,FOREIGNER reacts to Is The PHILIPPINES A THIRD World Country,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,[],PH
_tTSdojGOtc,MANNY PACQUIAO and WIFE got EMOTIONAL SURPRISE from their kids - FOREIGNERS REACTION,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,"['MANNY PACQUIAO', '#Philippines', '#Reaction']",PH
OJFH-0oLAMU,OO123: BUWAN NG WIKA!!! TAGALOG CHALLENGE!!! AMERICANS AND OTHER FOREIGNERS SPEAKING TAGALOG!!!,UCrzEDr4D1g46l2rZcYkIQuA,OSCAR OIDA COMEDY FAN,"['#OSCAROIDA', '#OSCAROIDACOMEDY', '#GMANEWS', '#GMANEWSCOMEDY', '#COMEDYNEWS', '#COMEDY', '#BUWANNGWIKA', '#TAGALOG', '#TAGALOGCHALLENGE', '#NOENGLISHCHALLENGE', '#FOREIGNERS', '#AMERICANS', '#PINOY', '#NAKATUTOK24ORAS']",PH
cWUYY8OrL5I,DREAMS (Full Movie) Anmol KC | Samragyee RL Shah | New Nepali Superhit Full Movie,UCrzyJYtjLOTfnUur8hsr7ow,HighlightsNepal,"['dreams', 'dreams full movie', 'dreams movie', 'new nepali full movie', 'latest nepali full movie', 'anmol kc dreams', 'samragyee rl shah', 'anmol kc', 'anmol kc new movie', 'highlights nepal', 'highlights nepal movie', 'highlights nepal full movie', 'superhit nepali full movie', 'dreams nepali movie', 'new nepali movie', 'full movie', 'full film', 'nepali movie', 'nepali film', 'full movie nepali', 'new full movie', 'dreams nepali full movie', 'full movie new', 'anmol kc movie', 'anmol kc new full movie']",AU
BAFAmnxD09U,LIVE | GRAND FINALS | M5 World Championship | (ENG),UCs0NBmP5x_U5eq0gHZmffgw,Mobile Legends: Bang Bang North America,"['mobilelegends', 'mobile legends: bang bang', 'MLBB', 'M5', 'M5 Grand Finals', 'Better Than Great', 'ONIC', 'INDO', 'PH', 'INDO VS PH', 'Kairi', 'M4', 'M5 Pass', 'Kiboy', 'GOONIC', 'Brenlangmalakas', 'Flaptzy', 'kyletzy', 'pheww', 'supermarco', 'super marco', 'owgwen', 'butsss', 'kairi', 'sanz', 'cw', 'kiboy', 'mas pinas lakas', 'we own this', 'MPL PH', 'MPL ID', 'BetterThanGreat', 'Mlbbm5', 'APBR', 'M5 SKin', 'BRENLANGMALAKAS', 'MLBB SKIN', 'MLBB ESPORTS', 'm5knockout']",US
M2IFmLzzWqw,Liili - Hot (Pagsasalin sa Filipino),UCs30eeR5vpE0Um1-Ia3CrOA,Liili,"['liili hot', 'hot', 'liili', 'да ты крут', 'liili hot lyrics', 'liili hot текст', 'liili hot reaction', 'filipino music', 'filipino song', 'filipino lyrics song', 'filipino pop music', 'Liili - Hot (Pagsasalin sa Filipino)', 'liili hot filipino', 'instagram music 2022', 'reels music', 'filipino', 'liili hot karaoke']",Unknown
