Video Id,Video Title,Channel Id,Channel Title,Video Tags,Channel Country
Y-9qPI8xt0I,Trying filipino delicacy 😮🇵🇭🤤 #filipinofood,UCnOeTSQY_YmjxeY12y0xOPQ,Mars & Tobi,[],PH
jKwVWyHj7no,Foreigner tries Philippine Folk Dance CARIÑOSA 😁💃 #shorts #filipino #dance,UCnOeTSQY_YmjxeY12y0xOPQ,Mars & Tobi,[],PH
ZBMl-EFhwCc,Wake up in the Philippines : Philippines tourism Ads 2020 🇵🇭 || Indonesian React,UCnPh0CjO4r-M6of7Tr3gUGQ,Aulia ZN,"['Reaction', 'Philippines', 'Beautiful Asian']",VN
XHyCCMdaRnM,"Tunisian Trying Filipino Food : Exploring the Unique Flavors of Kare-Kare, Pinakbet, & Bicol Express",UCnR7p-ZKOdKQk8IBNOoLDeg,Pinoy Foodie,"['Filipino', 'Kabayan', 'Pinoy', 'PinoyFood', 'PanlasangPinoy', 'Filipino food', 'tunisian food', 'taste test', 'international cuisine', 'foodie adventure', 'authentic dishes', 'filipino culture', 'travel vlog', 'food exploration', 'food tourism', 'exotic flavors', 'ethnic food', 'food review', 'filipino review', 'filipino cuisine', 'cultural exchange', 'food reaction', 'food challenge', 'new experiences', 'food blogging', 'flavorful journey']",Unknown
YebhwzHlHSs,HOW I MET MY TURKISH HUSBAND (TAGALOG) | KWENTO NAMİN SA İRAQ | FOREİGNER SPEAKS TAGALOG | VLOG #28,UCnS4ERF-4LJEcbqcUjoMMyw,Amerikanang Hilaw,"['how i met my husband', 'how i met my turkish husband', 'how we met', 'howimetmyhusband', 'turkish husband', 'filipinametforeignerhusband', 'foreigner husband', 'filipina living in turkey', 'foreigner speaks tagalog', 'amerikanong bisaya', 'amerikanong hilaw', 'bisayang hilaw', 'foreigner speaking tagalog', 'foreigner speaks fluent tagalog', 'my foreigner husband']",PH
Ii9IwK1u9bs,KWENTO NG BUHAY KO | MY STRUGGLES GROWING UP SA PINAS | FOREIGNER SPEAKS TAGALOG | VLOG # 27,UCnS4ERF-4LJEcbqcUjoMMyw,Amerikanang Hilaw,"['kwento ng buhay ko', 'my life story', 'my life story sa pinas', 'kwento ng buhay ko sa pinas', 'foreigner speaks tagalog', 'foreigner speaking tagalog', 'foreigner in the philippines', 'bisayang hilaw', 'amerikanang hilaw', 'amerikanong hilaw', 'sad life story', 'foreigner in the philippines 2020', 'foreigner in the philippines 2019']",PH
F4lsDbdzykc,FOREIGNER EATS FILIPINO BREAKFAST MUKBANG WITH FRIENDS | PINOY MUKBANG | FILIPINO MUKBANG | VLOG#19,UCnS4ERF-4LJEcbqcUjoMMyw,Amerikanang Hilaw,"['filipinobreakfast', 'filipino breakfast', 'filipino mukbang', 'pinoy mukbang', 'pinoy almusal mukbang', 'mukbang', 'mukbang with friends', 'almusal', 'amerikanang hilaw', 'bisayang hilaw', 'almusal mukbang', 'filipino breakfast mukbang', 'pinoy mukbangs', 'mukbang pinoy', 'foreigner speaking tagalog', 'mukbang philippines', 'life in turkey', 'foreigners speaking tagalog', 'filipino food', 'filipino food mukbang']",PH
8ZBKhn8Sm5E,BİSAYA LESSON 101 | FOREIGNER SPEAKS BISAYA | LAUGHTRIP GRABE | VLOG #29,UCnS4ERF-4LJEcbqcUjoMMyw,Amerikanang Hilaw,"['bisayang hilaw', 'amerikanong bisaya', 'teaching bisaya', 'learning bisaya', 'foreigner speak bisaya', 'foreigner speaks fluent bisaya', 'foreigner speaking tagalog', 'foreigner girl speaking tagalog', 'foreigner speaking bisaya fluently', 'funny foreigner speaking bisaya', 'how to speak bisaya for beginners', 'how to speak bisaya language', 'american knows how to speak bisaya', 'basic bisaya conversation', 'learning bisaya language', 'tagalog learning bisaya', 'learning basic bisaya languages']",PH
aZihLPxFtTI,FİLİPİNO NEW YEAR İN TURKEY | FOREIGNER SPEAKING TAGALOG| FILIPINA LIFE IN TURKEY | VLOG #12,UCnS4ERF-4LJEcbqcUjoMMyw,Amerikanang Hilaw,"['filipinonewyear', 'amerikanonghilaw', 'amerikanongbisaya', 'amerikananghilaw', 'bisayang hilaw', 'amerikanong bisaya', 'newyear2020', 'filipino in turkey', 'filipino abroad', 'life in turkey', 'lifeinturkey', 'pinoyabroad', 'welcome2020', 'bisayanghilaw', 'filipinointurkey', 'filipinoabroad', 'filam', 'happynewyear', 'fil-am', 'turkey vlog', 'amerikanang hilaw', 'foreigner speaking tagalog', 'filipina in turkey vlogs', 'foreigners speaking tagalog', 'filipina in turkey', 'foreigners speaking tagalog fluently', 'turkey vlogs']",PH
4GKEhmDMUHQ,FIRST TIME COOKING PANDESAL l FOREIGNER COOKS FILIPINO PANDESAL CHAROT! VLOG #78,UCnS4ERF-4LJEcbqcUjoMMyw,Amerikanang Hilaw,"['bisayang hilaw', 'amerikanong hilaw', 'amerikanang hilaw', 'foreigner speaks tagalog', 'foreigner speaking Tagalog', 'life in turkey', 'filipina in turkey', 'foreigner in the Philippines', 'ilongga', 'ilonggo', 'speaking bisaya', 'speaking ilongga', 'speaking Hiligaynon', 'foreigner vlogger in the philippines', 'speaking Cebuano', 'Filipina with foreigner husband', 'adopted daughter', 'filipino food', 'homemade pandesal recipe', 'homemade pandesal', 'foreigner cooks filipino food']",PH
