Video Id,Video Title,Channel Id,Channel Title,Video Tags,Channel Country
9fSVEGI4i04,Foreigner Tagalog Tongue Twister | British and Filipina,UCz4PY0iHBjV0VGbt1-gsq1g,Wendz Vibes,[],PH
ZuUJBRDUS30,"Amid South China Sea Tensions, India's warship Docks in The Philippines | Vantage with Palki Sharma",UCz8QaiQxApLq8sLNcszYyJw,Firstpost,"['firstpost', 'vantage', 'palki sharma', 'vantage palki sharma', 'first post', 'firstpost palki sharma', 'south china sea', 'ins kadmatt', 'ins kadmatt india', 'ins kadmatt indian navy', 'indian warship in south china sea', 'indian warship in philippines', 'china philippines conflict', 'china philippines south china sea', 'south china sea tensions', 'south china sea ins kadmatt', 'india warship ins kadmatt', 'indian navy joint exercise', 'india joint naval exercise', 'indo pacific region', 'india maritime security']",IN
q1Ey0HYjSO0,"TBS: Bahaghari discusses Pope’s declaration allowing blessing of same-sex couples | DEC. 19, 2023",UCzEAC4xGrhpShopTYgBhGJA,One News PH,"['one news', 'news philippines']",PH
4rGRQpag1m4,#vacation #philippines #ofw #funny  #love #flight,UCzF3NapTFg6a6Ky_LVrnzkA,Nilly Cayaban,[],ES
WWZrJnXA9Qc,International Singers React to Morissette Amon,UCzGHLrxKX84ASFw4VtC0dWQ,Q M A,[],PH
lrYZI3joWKc,REPORTAGEM FANTÁSTICO BLAZE - MATÉRIA COMPLETA BLAZE FANTÁSTICO,UCzHVdOZqt5JfOAyP8v0yCXQ,PH Tutoriais,"['jogo do aviaozinho', 'blaze', 'fantastico', 'reportagem fantastico', 'fantástico blaze', 'quem é dono da blaze', 'dono da blaze', 'curaçao blaze', 'jon vlogs é o dono da blaze', 'mel maia', 'felipe neto', 'carlinhos maia', 'mel maia blaze', 'felipe neto blaze', 'carlinhos maia blaze', 'jon vlogs blaze', 'reportagem fantastico blaze', 'o que é a blaze', 'influenciadores da blaze', 'quanto a blaze paga para os influencers', 'site da blaze', 'caso blaze', 'blazer', 'blaze e felipe neto', 'jogo do aviaozinho fantastico']",BR
kVaswZ-qtdI,"Foreigner Private Villa in Philippines, Cavite 🇵🇭",UCzIA1qk2ICPT20VydqqAo8g,Solem Vlogs,"['bgc', 'bonifacio', 'bonifacio global city', 'makati', 'philippines', 'philippines vlogger', 'philippines vlog', 'simon seeks', 'short king vlogs', 'mergim vlogs', 'foreigner in philippines', 'solem vlogs', 'solem bgc', 'solem']",PH
sEJ3P2gAVj0,Foreigner went to a Concert Festival in the Philippines 🇵🇭,UCzIA1qk2ICPT20VydqqAo8g,Solem Vlogs,"['bgc', 'bonifacio', 'bonifacio global city', 'makati', 'philippines', 'philippines vlogger', 'philippines vlog', 'simon seeks', 'short king vlogs', 'mergim vlogs', 'foreigner in philippines', 'solem vlogs', 'solem bgc', 'solem']",PH
MgwYYTxnqnc,Foreigner Golf in Philippines & Best Restaurant 🇵🇭,UCzIA1qk2ICPT20VydqqAo8g,Solem Vlogs,"['bgc', 'bonifacio', 'bonifacio global city', 'makati', 'philippines', 'philippines vlogger', 'philippines vlog', 'simon seeks', 'short king vlogs', 'mergim vlogs', 'foreigner in philippines', 'solem vlogs', 'solem bgc', 'solem']",PH
ohtYxA21Yk0,Foreigner in Philippines lives Life 🇵🇭,UCzIA1qk2ICPT20VydqqAo8g,Solem Vlogs,"['bgc', 'bonifacio', 'bonifacio global city', 'makati', 'philippines', 'philippines vlogger', 'philippines vlog', 'simon seeks', 'short king vlogs', 'mergim vlogs', 'foreigner in philippines', 'solem vlogs', 'solem bgc', 'solem']",PH
AbXuVrTVK-s,Foreigner or Filipino (Trivia ),UCzIXTqs6bZGrvapHn3iSVSQ,KAMANIX TV,"['foreigner or filipino', 'foreigner or filipino (trivia )', 'whis iss better foreigner or filipino', 'filipino vs foreigner']",PH
aadFUOkfpqE,Living with Depression feat. @RiansKitchen | Insights and Sharing Life Stories,UCzJs8iO7yBbP-GENBFoDvig,ICEE FIT,"['Japanese', 'Filipina', 'Pinay', 'Variety channel', 'Commentary channel', 'Storytelling', 'Chikahan muna', 'Asian reacting to', 'rians kitchen atbp.', 'rians kitchen', 'mental health', 'mental health awareness', 'mental health podcast', 'living with', 'real talk clips', 'real life english', 'discussions about life', 'mindset', 'mindset matters', 'mindset ba mindset', 'interview with', 'conversations with friends', 'conversations with strangers', 'life goes on', 'personal growth', 'personal development', 'changing mindset', 'ICEE']",JP
nd1jBO0llK0,"HOW SOME FILIPINO RESPOND WHEN FILIPINA MARRY A FOREIGNER || FILIPINA WIVES, FILIPINA MAID",UCzLY1mM_li78EGhtDztNt8Q,Filipina Petite,"['how filipino respond when we marry a foreigner', 'how people respond when a filipina is dating a foreigner', 'how people react when we marry a foreigner']",PH
