Video Id,Video Title,Channel Id,Channel Title,Video Tags,Channel Country
qSa4Ct330e0,JUST IN: Ex-LAKERS CENTER PUMIRMA NA ng KONTRATA | DURANT BIG 3 MAY SUMPA,UCg-kYL79Z-R6Mz1fF68NV4w,SPORTS REACT PH,[],Unknown
niPKDPhTLrs,JUST IN: Lakers MAY BAGONG PLAYER na LILIGTAS sa TEAM TUTULONG kay LEBRON DAVIS,UCg-kYL79Z-R6Mz1fF68NV4w,SPORTS REACT PH,[],Unknown
zXkdmtTaCLI,JUST IN: LAKERS JACKPOT sa TRADE! CLARKSON BABALIK sa LINEUP | Taurean PRINCE PINAPATANGGAL,UCg-kYL79Z-R6Mz1fF68NV4w,SPORTS REACT PH,[],Unknown
VngTaCRoh18,BREAKING: Lakers NAGKA-GULO NA! DAHILAN BAT OUT si LEBRON vs MINNESOTA TIMBERWOVES,UCg-kYL79Z-R6Mz1fF68NV4w,SPORTS REACT PH,[],Unknown
Aq-op-MFVwg,"BREAKING: Clarkson ""PUMAYAG"" NA sa LAKERS NAGSALITA NA  AGAD sa TRADE",UCg-kYL79Z-R6Mz1fF68NV4w,SPORTS REACT PH,[],Unknown
oNOAcEN3_V8,JUST IN: Lakers TANGGAL si DARVIN HAM  PAPALITAN ng BAGONG HEAD COACH ni LEBRON DAVIS,UCg-kYL79Z-R6Mz1fF68NV4w,SPORTS REACT PH,[],Unknown
gOm4OWt8VCE,BREAKING: D'LO NAG-DESISYON NA sa TRADE! AALIS NA sa LAKERS? NAGSALITA NA sa MEDIA,UCg-kYL79Z-R6Mz1fF68NV4w,SPORTS REACT PH,[],Unknown
d_QJBJXk8DA,[4K FANCAM] SB19 x &Team Live at Asia Artist Awards 2023 - 14 December 2023 - Philippine Arena,UCg0QidX233L33LT5FuI0FQw,Stan SB19,"['sb19 aaa', '&team aaa', '&team aaa 2023', 'aaa 2023', 'aaa2023', '&team aaa2023', 'sb19 aaa2023', 'sb19', 'aaa sb19', 'aaa2023 sb19', 'aaa2023 &team', 'aaa 2023 &team', 'aaa 2023 sb19', 'mahalima', 'mahalima aaa', 'mahalima aaa2023', '2023', 'gento aaa2023', 'sb19 aaa 2023 reaction']",PH
kFVyFsCmarY,Thai Guy trying Filipino Snacks #philippines #pinoy #pinoyfood #pinoysnacks #thailand,UCg0df4p2HTz4t_nF9tKZHOA,Don Cam,[],Unknown
7oyOuQI2NZc,IS THIS REALLY PHILIPPINES? 🇵🇭 FOREIGNERS REACTION TO BGC!,UCg1O4q_4jXoNN3U_w-TtVVg,Manifest With Jay ,"['philippines', 'filipino', 'filipina', 'manila', 'travel', 'Philippines travel vlog', 'BGC', 'manila travel', 'manila nightlife', 'travel vlog', 'passport', 'philippines 2023', 'travel philippines', 'manila first impression', 'first impression philippines', 'first day in manila', 'my first day in manila', 'things to do in manila', 'metro manila', 'philippines travel reaction', 'foreigner in the philippines', 'foreigner philippines vlog', 'foreigner in the philippines vlog', 'Philippines top 10', 'manila top 10', 'bcc high street']",US
yr0KDLEC7LQ,Trying PHILIPPINES Most Popular Restaurant 🇵🇭😛 - Filipino Food Reaction - Mukbang,UCg1O4q_4jXoNN3U_w-TtVVg,Manifest With Jay ,"['philippines', 'filipino', 'filipina', 'manila', 'cebu', 'travel', 'Philippines travel vlog', 'BGC', 'Quezon city', 'manila travel', 'manila nightlife', 'travel vlog', 'passport', 'philippines 2023', 'travel philippines', 'manila first impression', 'first impression philippines', 'first day in manila', 'my first day in manila', 'things to do in manila', 'metro manila', 'philippines travel reaction', 'foreigner in the philippines', 'foreigner philippines vlog', 'foreigner in the philippines vlog', 'Philippines top 10', 'manila top 10']",US
4wwpMMHQjWo,TRYING FILIPINO STREET FOOD 🇵🇭 FOR THE FIRST TIME IN MANILA PHILIPPINES,UCg1O4q_4jXoNN3U_w-TtVVg,Manifest With Jay ,"['philippines', 'filipino', 'filipina', 'manila', 'travel', 'Philippines travel vlog', 'BGC', 'manila travel', 'travel vlog', 'passport', 'philippines 2023', 'travel philippines', 'things to do in manila', 'metro manila', 'foreigner in the philippines', 'foreigner philippines vlog', 'foreigner in the philippines vlog', 'Philippines top 10', 'manila top 10', 'street food', 'filipino street food', 'american tries filipino food', 'trying filipino food for the first time', 'manila street food', 'balut', 'isaw', 'halo-halo']",US
P1mVfIdGsLM,1 WEEK LIVING IN THE PHILIPPINES AS AN AMERICAN FOREIGNER. 😳🇵🇭,UCg1O4q_4jXoNN3U_w-TtVVg,Manifest With Jay ,"['philippines', 'filipino', 'filipina', 'manila', 'cebu', 'travel', 'Philippines travel vlog', 'BGC', 'Quezon city', 'manila travel', 'manila nightlife', 'travel vlog', 'passport', 'philippines 2023', 'travel philippines', 'manila first impression', 'first impression philippines', 'first day in manila', 'my first day in manila', 'things to do in manila', 'metro manila', 'philippines travel reaction', 'foreigner in the philippines', 'foreigner philippines vlog', 'foreigner in the philippines vlog', 'Philippines top 10', 'manila top 10']",US
PRNX6PyRp_w,So what’s orange? 🤣 #filipino #tagalog #spanish #colombian,UCg44CBsWwZkKKLA8mA4tgUg,Marj Suarez,[],US
J2wSduMBPjw,switching languages. #filipino #colombian #lasian #tagalog #spanish,UCg44CBsWwZkKKLA8mA4tgUg,Marj Suarez,[],US
JxkKrtAWbII,now it’s daddy’s turn to say Puto. 🤣 #filipinodessert #filipino #lasian #colombian #tagalog,UCg44CBsWwZkKKLA8mA4tgUg,Marj Suarez,[],US
