Video Id,Video Title,Channel Id,Channel Title,Video Tags,Channel Country
QasoAsgImhQ,Foreigner and Filipina Building a Western Style Home in the Philippines 🇵🇭,UCBhnGs1nD_ixIGWkJUYkfRQ,Building the Philippines with Wilma & Greg,"['travel to the philippines', 'travel to asia', 'travel to southeast asia', 'dating an asian', 'marrying an asian', 'walking street', 'filipina girlfriend', 'filipina wife', 'asian girlfriend', 'asian wife', 'dating in the philippines', 'dating in asia', 'how to find a girlfriend', 'how to find a wife', 'vacation to the philippines', 'vacation to asia', 'japan', 'thailand', 'vietnam', 'malaysia', 'sinapore', 'china', 'hong kong']",PH
2j2xM_D4mFc,Foreigner and Filipina Living in the Philippines 🇵🇭,UCBhnGs1nD_ixIGWkJUYkfRQ,Building the Philippines with Wilma & Greg,"['dauin', 'dumaguete', 'daily life', 'retirement', 'retired', 'retirement life', 'happy life', 'being happy', 'marriage', 'marriage life', 'getting married', 'retiring overseas', 'retiring to a foreign country']",PH
lNtwdwu1f5w,Countryhumans react to Filipino National Heroes Rap || Mikey Bustos 🇵🇭,UCBlv0_AQ1VrFEyZsAFEY-WQ,Gacha Czarina 08,[],Unknown
VS39nh1YE_w,Top 10 GHOST Videos So SCARY It Goes UP to *11*,UCBnbnH7DGXT9yBBVFbZeIwQ,Nuke's Top 5,"['nukes tops 5', 'nukes top 5', 'nukestop5', ""nuke's top 5"", 'nuke’s top 5', 'top 5', 'ghost videos', 'top 5 ghost', 'top 5 scary', 'ghosts', 'ghost', 'top 10 ghost', 'top 5 scary ghosts', 'scary ghost videos', 'top 10 scary', 'scary ghost', 'scary video', 'top5', 'reaction', 'top 5 list', 'top5 list', 'scary videos', 'evp', 'scary tiktok', 'tiktok ghost', 'top10', 'top 10', 'top 10 list', 'scary', 'scariest videos', 'evps', 'poltergeist', 'paranormal', 'parnormal', 'paranormal investigation', 'ghost hunters', 'ghost hunter', 'spooky', 'paranormal activity']",US
Jrdo04qIlSg,Korean Girls React to Funny Halloween Tiktoks,UCBobKKmkDPL_5Vr9-OxveZQ,ReacThing,"['koreans react to', 'koreans reaction', 'korean react', 'koreans react', 'south korea', 'korean', 'reacthing', 'korean reaction', 'korean reacts to', 'korean react to', 'halloween tiktoks', 'halloween squid game', 'halloween tiktok reaction', 'koreans react to tiktok', 'koreans react to halloween tiktoks', 'koreans react to squid game tiktoks', 'halloween day korean reaction', 'halloween day tiktok korean reaction']",KR
kngQ2GC1nm0,MEETING MY LONG DISTANCE GIRLFRIEND FOR THE FIRST TIME | PHILIPPINES - USA 🇺🇸 ❤️ 🇵🇭 | LDR,UCBqVLksxqvtNxTY0-xPGAHw,RaynGelique,"['filipina', 'american', 'ldr', 'ldr couple', 'k1 fiance visa', 'long distance relationship', 'love', 'philippines', 'usa', 'united states', 'vlog', 'travel', 'beautiful', 'sexy', 'pinay', 'manila', 'marriage', 'closing the gap', 'couple', '90 day fiance', 'relationship', 'dating filipina', 'my filipina', 'sexy asian', 'asian girl', 'love story', 'first meet', 'first time meeting', 'first kiss', 'love at first sight', 'airport kiss', 'TLC', 'just landed', 'ray', 'angelique']",US
Jwj-J-Z0V6E,VIETNAMESE LIVING AND WORKING IN THE PH + PARK  TOUR + TRYING FILIPINO FOOD IN BOODLE FIGHT STYLE,UCBtoYkb6b5TYfrhUnxEGj4g,Life as a Bilingual in the Philippines,[],PH
VpvoShSysYg,Filipino Phrases a Foreigner must know when travelling to Philippines,UCBtoYkb6b5TYfrhUnxEGj4g,Life as a Bilingual in the Philippines,[],PH
doBL9cXX8Iw,#SB19 & &TEAM Asian Artist Award FULL Performance 2023 🔥 (REACTION),UCC-m0wNg4tbqQPf2bKzTbXQ,Tori's Space,"['SB19', 'SB19 P-POP', 'PHILIPPINES', 'SB19 JOSH', 'SB19 JUSTIN', 'SB19 STELL', 'SB19 PABLO', 'SB19 KEN', 'Boy group', 'Music', 'TIKTOK UPDATE COMPILATION', 'SB19 APRIL 2022 TIKTOK UPDATE COMPILATION', 'SB19 MARCH 2022 TIKTOK UPDATE [COMPILATION]', 'SB19 Funny moments I think about a lot', ""'Bazinga' 2022 PPOP CON Stage Rehearsal"", ""'WYAT (Where You At)'"", 'GO UP', 'WHAT', 'BAZINGA', ""SB19 'GENTO' Music Video"", 'SB19 performs Gento LIVE on Wish 107.5 Bus', 'Freedom', 'SB19 - GENTO (Live Performance) | Vevo', 'MAPA', 'REACTION']",US
rlxTBgI6P9g,Masked Filipino Guy Picking up Cute Girls 🎭 | Met a Cute Gamer Girl,UCC0FPnDflOlPDwyqDw-miPg,Ronan Bryle,[],Unknown
