Video Id,Video Title_x,Channel Id_x,Channel Title_x,Video Tags_x,Channel Country_x
dtq3cGT8MGM,First Time Trying JOLLIBEE • Filipino Spicy Fried Chicken • Sweet Spaghetti • Palabok • Adobo Rice,UC-wNjA3exMjeJlEU5TvJ4Tw,Big Guy Appetite,"['Jollibee', 'Jollibee Mukbang', 'Filipino food', 'Filipino Mukbang', 'Mukbang', 'Mukbang eating show', 'Eating show', 'Jollibee spaghetti', 'Jollibee spicy chicken', 'Jollibee fried chicken', 'Jollibee palabok', 'Palabok', 'Spicy chicken sandwich', 'Jollibee spicy chicken sandwich', 'Jollibee chicken and gravy', 'Jollibee adobo rice', 'Adobo rice', 'Big Guy Appetite', 'BGA', 'BGA Crew', 'Spicy fried chicken', 'Jollibee spicy fried chicken', 'Jollibee Chandler Arizona', 'Jollibee review', 'Jollibee food review', 'Arizona', 'Phoenix']",US
_0flcFZKaH8,(PART 2) Trying Filipino Cuisine For The First Time • So Good I Broke My Chair,UC-wNjA3exMjeJlEU5TvJ4Tw,Big Guy Appetite,"['Filipino food', 'Filipino cuisine', 'Philippines', 'Filipino Mukbang', 'Mukbang', 'Eating show', 'Big Guy Appetite', 'BGA', 'BGA Crew', 'Pancit', 'Pancit bihon guisado', 'Dinuguan', 'Sisig', 'Sinigang', 'Bistek Tagalog', 'Ube', 'Ube cheesecake', 'Chicken Inasal', 'Stick skewers', 'Lumpia', 'Filipino', 'Filipina', 'Casa Filipina', 'Phoenix', 'Arizona', 'Phoenix Arizona', 'Casa Filipina bakeshop and restaurant', 'Food from the Philippines', 'BGA Filipino Mukbang', 'Big Guy Appetite Filipino Mukbang', 'Halo halo', 'Halo halo dessert', 'Ube ice cream']",US
E-GA_47pT-k,MEXICANS Eating FILIPINO Food • Sizzling Sisig • Lechon Kawali • Chicken Adobo • UBE CHEESECAKE,UC-wNjA3exMjeJlEU5TvJ4Tw,Big Guy Appetite,"['Casa Filipina', 'Filipino food', 'Filipino restaurant', 'Filipino cuisine', 'Filipino Mukbang', 'Sizzling Sisig', 'Lechon', 'Lechon kawali', 'Crispy lechon', 'Crispy pata', 'Chicken adobo', 'Pancit bihon guisado', 'Pancit', 'Palabok', 'Lumpia', 'Ube cheesecake', 'Leche flan', 'Pan desal', 'Pan de sal', 'Filipino dessert', 'Filipino desserts', 'Big Guy Appetite', 'BGA', 'BGA Crew', 'Pinoy', 'Pinoy food', 'Philippines food', 'Filipino feast', 'Filipino pork', 'Philippines']",US
E2HZCJ013W8,First Time Trying Filipino CRISPY PATA with Sukang Sawsawan Sauce,UC-wNjA3exMjeJlEU5TvJ4Tw,Big Guy Appetite,"['Crispy pata', 'Filipino crispy pata', 'Filipino', 'Philippines', 'Filipino food', 'Filipino cuisine', 'Food from the Philippines', 'Sukang sawsawan', 'Crispy pata with Sukang sawsawan', 'Sukang sawsawan sauce', 'Filipino spicy sauce', 'Sweet chili sauce', 'Asian sweet chili sauce', 'Big Guy Appetite', 'BGA', 'BGA Crew', 'Philippines crispy pata', 'BGA Filipino food', 'Filipino Mukbang', 'Mukbang', 'Mukbang eating show', 'Eating show', 'Filipino eating show', 'Mama Appetite', 'Mama Appetite’s Kitchen']",US
QJ2juErC6gw,First Time Trying AUTHENTIC FILIPINO Cuisine • His Reaction Was PRICELESS!,UC-wNjA3exMjeJlEU5TvJ4Tw,Big Guy Appetite,"['Filipino Cuisine', 'Filipino Food', 'Filipino Mukbang', 'Filipino food Mukbang', 'Filipino', 'Mukbang', 'First time trying Filipino food', 'First time trying Filipino cuisine', 'Pinoy food', 'Philippines', 'Philippines mukbang', 'Big Guy Appetite', 'BGA', 'BGA Crew', 'Jay Grubz', 'Casa Filipina', 'Casa Filipina Bakeshop', 'Lumpia', 'Sizzling Sisig', 'Pancit bihon', 'Pancit', 'Spaghetti a La Filipina', 'Lechon Kawali', 'Lechon baboy', 'Big Guy', 'BGA Filipino mukbang', 'BGA Filipino videos']",US
O8MjgV7fPXY,Trying NEW Filipino Breakfast Dishes Per Request • Tocilog • Hotsilog • Sisig Silog,UC-wNjA3exMjeJlEU5TvJ4Tw,Big Guy Appetite,"['Filipino food', 'Filipino cuisine', 'Halo halo kitchen', 'Philippines', 'Philippines food', 'Filipino', 'Mukbang', 'Filipino Mukbang', 'Big Guy Appetite', 'BGA', 'BGA Crew', 'Filipina', 'Pinoy', 'Pinoy food', 'Pinoy cuisine', 'Lumpia', 'Hot dogolog', 'Hotsilog', 'Tocilog', 'Sisig silog', 'Sizzling Sisig', 'Pancit', 'Pancit bihon guisado', 'Garlic rice', 'Filipino garlic rice', 'Filipino hot dog', 'Filipino breakfast', 'First time trying Filipino food', 'Trying Filipino food']",US
VXWFdonv_-Q,Mexican Guy Tries JOLLIBEE For The First Time • FILIPINO MUKBANG w/ @JayGrubz,UC-wNjA3exMjeJlEU5TvJ4Tw,Big Guy Appetite,"['Filipino Mukbang', 'Filipino', 'Mukbang', 'Filipino food', 'Filipino cuisine', 'Philippines', 'Philippines food', 'Pinoy', 'Pinoy food', 'Jollibee', 'Jollibee mukbang', 'Jollibee Mukbang', 'Chicken Joy', 'Jollibee chicken', 'Palabok', 'Filipino spaghetti', 'Big Guy Appetite', 'BGA', 'BGA Crew', 'Jay Grubz', 'Jollibee Philippines', 'Filipino pancit', 'Adobo', 'Adobo rice', 'Jollibee food', 'Filipino Jollibee', 'Jollibee Filipino food']",US
-9bfDHHneyU,SHOWING MY SISTER SB19 'GENTO' Music Video,UC-wdvwNBuVobJRbISwjA5Hw,Alex Oh Reacts,"['sb19 gento reaction', 'sb19 gento reaction video', 'reaction sb19 gento', 'gento reaction sb19', 'gento sb19 reaction', 'gento sb19 mv reaction', 'sb19 gento mv reaction', 'sb19 reaction', 'sb19 reaction video new', 'sb19 reaction video gento', 'sb19 reaction gento', 'sb19 reaction korean', 'gento reaction']",US
Sbck87afvGU,SB19 - ASIA ARTIST AWARDS (AAA) 2023 FULL PERFORMANCE REACTION,UC-wdvwNBuVobJRbISwjA5Hw,Alex Oh Reacts,[],US
wVjiQIFbcE4,LDR FIRST MEETING | Filipino-American Couple 🇵🇭🇺🇲,UC0EQSC9tQA40qM-x9bRj67A,Team CorGi,[],Unknown
