Video Id,Video Title,Channel Id,Channel Title,Video Tags,Channel Country
xUPYc411duE,Only the Philippines...😭Latinos react to Philippine Madrigal Singers - Izar Ederrak in FRANCE,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW', 'Waleska', 'Waleska Herrera', 'Feature Friday', 'FEATURE FRIDAY EFRA', 'Philippine Madrigal Singers', 'Madz', 'Polyfollia', 'Choir', 'Chorus', 'FEATURE FRIDAY REACTS', 'upms', 'madz', 'ily maniano', 'choir', 'philippine madrigal singers', 'choral music', 'acapella', 'bukas nalang kita mamahlin', 'lani misalucha', 'Philippine', 'Madrigal', 'Singers', '(MADZ)', 'Eres', 'tú', 'Uruguay', 'MADZ', 'Embajada', 'filipina', 'Buenos', 'Aires']",GB
rxxIlxGqOvI,Listenting to Chavacano for the first time 🇵🇭| Latinos react to Maldita — Porque,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['OPM', 'Music', 'Songs', 'Entertainment', 'Porque', 'Maldita', 'Viva Records', 'Original Pilipino Music', 'band', 'lovesong', 'Official Music Video', 'Geraldine Lim', 'Chavacano-Tagalog song', 'chavacano', 'zamboanga music', 'vispop', 'bisdak', 'south music', 'philippines', 'regional pinoy', 'opm hitsong', 'Pop', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW']",GB
M_XUw3tno9U,Now You can't tell me this is NORMAL!? Latinos react to Filipino Esthetician SINGING Whilst Working,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'Feature Friday', 'Waleska Herrera', 'vocal coach reacts', 'top 10 filipino singers', 'who went viral', 'viral video', 'youtube viral video', 'filipino viral', 'Regine Velasquez', 'Lea Salonga', 'OPM', 'Philippines', 'Filipino', 'sa inuman', 'lyrics', 'pilipina', 'filipino', 'tiktok', 'Morissette', 'Stell', 'SB19', 'Katrina Velarde', 'Jona', 'Marcelito Pomoy', 'Darren Espanto', 'opm', 'vocals', 'latino react', 'reaction', 'gusto ko na bumitaw']",GB
HoPSiXZpoF4,Latinos react to Philippines's Miss Universe Contestants SINGING!,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['ABS-CBN', 'ABS-CBN Philippines', 'smilee', 'smilee Apparel', 'Empire.PH', 'Xian Lim', 'Zozibini Tunzi', 'Maureen Montagne', 'Tim Yap', 'Nam Woo-Hyun', 'Jessica Sanchez', ""R'Bonney Gabriel"", 'Miss Universe Philippines 2023 Live', 'Miss Universe Philippines 2023', 'Miss Universe Philippines', 'MUPH', 'MUPH 2023', 'Miss Universe ABS-CBN', 'MUPH Live', 'Pauline Amelinckx', 'Jannarie Zarzoso', 'Angelique Manto', 'MUPH Evening Gown', 'MUPH Top 5', 'Princess Anne Marcos', 'Airishh Ramos', 'reaction', 'waleska']",GB
jwhcFIoDFNg,Filipino Musical Geniuses!😨 Latinos react to Philippines Madrigal Singers in Milan,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'Feature Friday', 'FEATURE FRIDAY REVIEW', 'upms', 'madz', 'ily maniano', 'choir', 'philippine madrigal singers', 'choral music', 'acapella', 'bukas nalang kita mamahlin', 'lani misalucha', 'Philippine', 'Madrigal', 'Singers', '(MADZ)', 'Eres', 'tú', 'Uruguay', 'MADZ', 'Embajada', 'filipina', 'Buenos', 'Aires']",GB
Qo-Gs8w_P80,Emotional OVERLOAD! Latinos react to to Philippines Madrigal Singers in BUSAN,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['BusanChoral', 'BCFC', 'Choir', 'philippine madrigal singers', 'University Of The Philippines Madrigal Singers (Musical Artist)', 'madrigal singers', 'philippines', 'opm', 'filipino', 'viral', 'singer', 'reaction', 'Philippine', 'Madrigal', 'Singers', '(MADZ)', 'Eres', 'tú', 'Uruguay', 'MADZ', 'Embajada', 'filipina', 'Buenos', 'Aires', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW']",GB
SgpzJ9peq0Q,Waleska & Efra react to Talented FILIPINOS Singing at Mall - Viral Videos Compilation| 1/2 |REACTION,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['top 10', 'top 10 filipino singers', 'who went viral', 'viral video', 'youtube viral video', 'filipino viral', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'Viral Filipino', 'Singing at karaoke', '2019', 'Music', 'Filipinos singing at karaoke', 'Talented pinoys', 'Singing', 'Singing in classroom', 'Singing at mall', 'Pinagsample', 'Best', 'Compilation', 'Filipinos singing viral', 'Cute guy singing', 'Best cover', 'Covers', 'Filipino']",GB
jDxJk9l0Wp4,Hold On a Second...! Waleska & Efra react to Angel Abellar VIRAL Covers of Lady Gaga & Celine Dion,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'Feature Friday', 'Waleska Herrera', 'vocal coach reacts', 'top 10 filipino singers', 'who went viral', 'viral video', 'youtube viral video', 'filipino viral', 'Regine Velasquez', 'Lea Salonga', 'OPM', 'Philippines', 'Filipino', 'sa inuman', 'lyrics', 'pilipina', 'filipino', 'tiktok', 'Morissette', 'Stell', 'SB19', 'Katrina Velarde', 'Jona', 'Marcelito Pomoy', 'Darren Espanto', 'opm', 'vocals', 'latino react', 'angel abellar', 'reaction', 'lady gaga', 'celine dion']",GB
oYNHeWjc6EM,The Phillipines Best Choir Has RETURNED! Latinos react to The Madrigal Singers - O Sacrum Convivium,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['BusanChoral', 'BCFC', 'Choir', 'philippine madrigal singers', 'University Of The Philippines Madrigal Singers (Musical Artist)', 'madrigal singers', 'philippines', 'opm', 'filipino', 'viral', 'singer', 'reaction', 'Philippine', 'Madrigal', 'Singers', '(MADZ)', 'Eres', 'tú', 'Uruguay', 'MADZ', 'Embajada', 'filipina', 'Buenos', 'Aires', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW']",GB
XGxXwtHmpK4,Filipino rock hits different! 🇵🇭👏| Latinos react to Cueshé - Ulan LIVE on wish| Reaction,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['wish fm 107.5', 'wish fm', 'wish1075', 'wish 1075', 'wish radio', 'road show', 'roadshow', 'wish', 'live performance', 'unplugged', 'philippines', 'radio station', 'fm', 'wish fm bus', 'wish bus', 'wish 1075 bus', 'wish fm 107.5 bus', 'Wishclusive', 'cueshe', 'stay', 'Cueshé', 'Pop', 'Stay', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW', 'Sony BMG Music Entertainment', 'Ulan']",GB
x94mHa0LeRs,"COMFIRMED! all Filipinos CAN speak Spanish😎|Latinos react to BGYO ""Un Año"" (Sebastian Yatra & Reik)",UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['#BGYO #KWAVE #UnAño #SebastianYatra #Reik #ZoomParty #Cover', 'BGYO', 'BGYO Official', 'BGYO boys', 'Star Hunt Academy Boys', 'SHA Boys', 'Gelo', 'Mikki', 'JL', 'Nate', 'Akira', 'BGYO Official Music Video', 'The Light Music Video', 'BGYO debut single', 'BGYO The Light', 'The Light BGYO', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW', 'ppop reaction', 'bgyo', 'bgyo cover', 'un año', 'philippines', 'first time', 'spanish']",GB
DhM-lafHvTs,These Men will take your Wife😏 | Latinos react to Viral Filipino Singers| Vol 7,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'SIBLINGS REACT', 'LATINOS REACT', 'Feature Friday', 'Reaction', 'FEATURE FRIDAY REVIEW', 'Waleska Herrera', 'vocal coach reacts', 'top 10 filipino singers', 'who went viral', 'viral video', 'youtube viral video', 'filipino viral', 'OPM', 'Philippines', 'Filipino', 'karaoke', 'arthur nery', 'filipino kid', 'foreigner reacts to philippines', 'harana', 'feature Friday', 'FEATURE FRIDAY EFRA', 'FEATURE FRIDAY CLIPS', 'top 10', 'top ten reaxtion video']",GB
VS9PU8NW6jg,This is RIDICULOUS! Waleska & Efra react to 'Gusto Ko Nang Bumitaw' Filipino Singing Challenge,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['Morissette', 'Morissette Amon', ""It's Morissette"", 'itsmorissette', 'singer', 'artist', 'performer', 'Philippines', 'Filipino', 'Filipina', 'ASAP', 'Wish', 'Wish1075', 'Morissette Youtube channel', ""Asia's Phoenix"", 'FEATURE FRIDAY', 'SIBLINGS REACT', 'LATINOS REACT', 'Feature Friday', 'Reaction', 'feature Friday', 'FEATURE FRIDAY REVIEW', 'Waleska Herrera', 'top 10 filipino singers', 'who went viral', 'viral video', 'youtube viral video', 'filipino viral', 'OPM', 'sa inuman', 'karaoke', 'lyrics', 'idol philippines', 'pilipina', 'filipino', 'tiktok']",GB
WJSH3isKuoA,The Best Filipino Singing Comedian| Waleska & Efra react to Kakai Bautista Broadway Musical Medley,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'LATINOS REACT', 'Feature Friday', 'Reaction', 'Waleska Herrera', 'vocal coach reacts', 'top 10 filipino singers', 'viral video', 'youtube viral video', 'filipino viral', 'Regine Velasquez', 'OPM', 'Philippines', 'Filipino', 'sa inuman', 'karaoke', 'zack tabudlo', 'filipino kid', 'foreigner reacts to philippines', 'harana', 'morissette', 'kz tandingan', 'listen', 'beyonce', 'tiktok', 'filipino tiktok', 'Pinoy', 'Pinoy Trending', 'Pilipinas Trending', 'Trending Philippines', 'Viral Philippines', 'Pilipinas TV', 'PilipinasTV']",GB
